time,protocol,node,outcome,terms,beta
time_0,Lira,Lira,Lira_0,insulin_one_0,1.63510575763562
time_0,Lira,outcome,primary.outcome_1,(Intercept),0
time_0,Lira,outcome,primary.outcome_1,sexMale,0.0289751444606668
time_0,Lira,outcome,primary.outcome_1,age60-80,-0.00684347421962751
time_0,Lira,outcome,primary.outcome_1,age80-90,0.101859906978465
time_0,Lira,outcome,primary.outcome_1,diabetesdurationgroup1-5 years,-0.0122090925853683
time_0,Lira,outcome,primary.outcome_1,diabetesdurationgroup5-10 years,0.0028297652677209
time_0,Lira,outcome,primary.outcome_1,diabetesdurationgroup10-15 years,0.0136927427844272
time_0,Lira,outcome,primary.outcome_1,diabetesdurationgroup15-20 years,0.0229690743196377
time_0,Lira,outcome,primary.outcome_1,diabetesdurationgroupmore than 20 years,0.0162661081404731
time_0,Lira,outcome,primary.outcome_1,ethnicNOT HISPANIC OR LATINO,-0.0168875635508154
time_0,Lira,outcome,primary.outcome_1,egfr.baseline,-0.000598429439231427
time_0,Lira,outcome,primary.outcome_1,bmi.baseline>30 kg/m2,-0.00711178637827119
time_0,Lira,outcome,primary.outcome_1,mineralcorYes,0.0225738439651664
time_0,Lira,outcome,primary.outcome_1,bbYes,0.025443458137155
time_0,Lira,outcome,primary.outcome_1,rasiYes,-0.000328203217141334
time_0,Lira,outcome,primary.outcome_1,loopYes,0.0337217202809
time_0,Lira,outcome,primary.outcome_1,ccbYes,0.00111984744588539
time_0,Lira,outcome,primary.outcome_1,thiazideYes,0.00569771659654286
time_0,Lira,outcome,primary.outcome_1,sasidYes,0.0731906799016996
time_0,Lira,outcome,primary.outcome_1,statinYes,-0.0241062855390098
time_0,Lira,outcome,primary.outcome_1,hypertensionYes,0.00881437350245529
time_0,Lira,outcome,primary.outcome_1,diabetic.nephropathyYes,-0.00784598443551276
time_0,Lira,outcome,primary.outcome_1,stenosisYes,0.0196576309691553
time_0,Lira,outcome,primary.outcome_1,disorders.of.rhythm.or.conductionYes,-0.00192782542820994
time_0,Lira,outcome,primary.outcome_1,left.ventricular.systolic.dysfunctionYes,0.0348501014735534
time_0,Lira,outcome,primary.outcome_1,gallstone.diseaseYes,0.0170040820662526
time_0,Lira,outcome,primary.outcome_1,pancreatitisYes,-0.00881692946481867
time_0,Lira,outcome,primary.outcome_1,diabetic.foot.ulcerYes,0.0509146650757829
time_0,Lira,outcome,primary.outcome_1,diabetic.neuropathyYes,0.0109603591754058
time_0,Lira,outcome,primary.outcome_1,transient.ischaemic.attackYes,0.0299463886627124
time_0,Lira,outcome,primary.outcome_1,hba1c_level_0,0.0145618999945835
time_0,Lira,outcome,primary.outcome_1,hba1c_change_0,-0.00246944487337549
time_0,Lira,outcome,primary.outcome_1,heart.failure_0Acute,0
time_0,Lira,outcome,primary.outcome_1,heart.failure_0Chronic,0.0119652801675327
time_0,Lira,outcome,primary.outcome_1,Lira_01,-0.120758738610037
time_0,Lira,outcome,primary.outcome_1,nausea.and.vomiting.symptoms_0,-0.0298690448247397
time_0,Lira,outcome,primary.outcome_1,atrial.fibrillation_0,-0.112394671913238
time_0,Lira,outcome,primary.outcome_1,diarrhoea_0,-0.0593324411402774
time_0,Lira,outcome,primary.outcome_1,metformin_0,-0.0450820546616546
time_0,Lira,outcome,primary.outcome_1,sulfonylurea_0,0.00464527178092206
time_0,Lira,outcome,primary.outcome_1,insulin_0,-0.025059761434733
time_0,Lira,outcome,primary.outcome_1,thiazo_0,-0.147606375104136
time_0,Lira,outcome,primary.outcome_1,insulin_one_0,0.0486846344434947
time_0,Placebo,outcome,primary.outcome_1,(Intercept),0
time_0,Placebo,outcome,primary.outcome_1,sexMale,0.0380739949402451
time_0,Placebo,outcome,primary.outcome_1,age60-80,0.00229581791122428
time_0,Placebo,outcome,primary.outcome_1,age80-90,0.162958263101411
time_0,Placebo,outcome,primary.outcome_1,diabetesdurationgroup1-5 years,-0.000595309865173666
time_0,Placebo,outcome,primary.outcome_1,diabetesdurationgroup5-10 years,0.0166923754633142
time_0,Placebo,outcome,primary.outcome_1,diabetesdurationgroup10-15 years,0.032680106592107
time_0,Placebo,outcome,primary.outcome_1,diabetesdurationgroup15-20 years,0.0367197208378755
time_0,Placebo,outcome,primary.outcome_1,diabetesdurationgroupmore than 20 years,0.0311015861970448
time_0,Placebo,outcome,primary.outcome_1,ethnicNOT HISPANIC OR LATINO,-0.00229434990540473
time_0,Placebo,outcome,primary.outcome_1,egfr.baseline,-0.000716339019968635
time_0,Placebo,outcome,primary.outcome_1,bmi.baseline>30 kg/m2,0.000904934895968097
time_0,Placebo,outcome,primary.outcome_1,mineralcorYes,0.0160380091975132
time_0,Placebo,outcome,primary.outcome_1,bbYes,0.0271889423624188
time_0,Placebo,outcome,primary.outcome_1,rasiYes,0.00875796379940287
time_0,Placebo,outcome,primary.outcome_1,loopYes,0.0383274247484033
time_0,Placebo,outcome,primary.outcome_1,ccbYes,0.00873649386182796
time_0,Placebo,outcome,primary.outcome_1,thiazideYes,-0.00347528196535302
time_0,Placebo,outcome,primary.outcome_1,sasidYes,0.138939466623201
time_0,Placebo,outcome,primary.outcome_1,statinYes,-0.0105882904715054
time_0,Placebo,outcome,primary.outcome_1,hypertensionYes,0.0158004504985299
time_0,Placebo,outcome,primary.outcome_1,diabetic.nephropathyYes,-0.0150184384079678
time_0,Placebo,outcome,primary.outcome_1,stenosisYes,0.0231260099597857
time_0,Placebo,outcome,primary.outcome_1,disorders.of.rhythm.or.conductionYes,0.0103329801120826
time_0,Placebo,outcome,primary.outcome_1,left.ventricular.systolic.dysfunctionYes,0.047081868624466
time_0,Placebo,outcome,primary.outcome_1,gallstone.diseaseYes,-0.0123592070471516
time_0,Placebo,outcome,primary.outcome_1,pancreatitisYes,0.000967051541717368
time_0,Placebo,outcome,primary.outcome_1,diabetic.foot.ulcerYes,0.0690768757007852
time_0,Placebo,outcome,primary.outcome_1,diabetic.neuropathyYes,0.0138783957287603
time_0,Placebo,outcome,primary.outcome_1,transient.ischaemic.attackYes,0.0127449769865931
time_0,Placebo,outcome,primary.outcome_1,hba1c_level_0,0.0168057875191192
time_0,Placebo,outcome,primary.outcome_1,hba1c_change_0,-0.0061693539450125
time_0,Placebo,outcome,primary.outcome_1,heart.failure_0Acute,0
time_0,Placebo,outcome,primary.outcome_1,heart.failure_0Chronic,0.00737531729224823
time_0,Placebo,outcome,primary.outcome_1,Lira_01,0.0904331965687798
time_0,Placebo,outcome,primary.outcome_1,nausea.and.vomiting.symptoms_0,-0.028397155552195
time_0,Placebo,outcome,primary.outcome_1,atrial.fibrillation_0,-0.102678718744923
time_0,Placebo,outcome,primary.outcome_1,diarrhoea_0,-0.151911858736237
time_0,Placebo,outcome,primary.outcome_1,metformin_0,-0.0298064416842918
time_0,Placebo,outcome,primary.outcome_1,sulfonylurea_0,-0.0104299775411696
time_0,Placebo,outcome,primary.outcome_1,insulin_0,-0.0393221885418674
time_0,Placebo,outcome,primary.outcome_1,thiazo_0,-0.269221294632855
time_0,Placebo,outcome,primary.outcome_1,insulin_one_0,0.0984957002882459
time_1,Placebo,Placebo,Placebo_1,(Intercept),0
time_1,Placebo,Placebo,Placebo_1,sexMale,0.18531541341039
time_1,Placebo,Placebo,Placebo_1,age60-80,0.273052138153697
time_1,Placebo,Placebo,Placebo_1,age80-90,0.291563355650587
time_1,Placebo,Placebo,Placebo_1,diabetesdurationgroup1-5 years,0.26160382518894
time_1,Placebo,Placebo,Placebo_1,diabetesdurationgroup5-10 years,0.177841291964225
time_1,Placebo,Placebo,Placebo_1,diabetesdurationgroup10-15 years,0
time_1,Placebo,Placebo,Placebo_1,diabetesdurationgroup15-20 years,0.217842872148314
time_1,Placebo,Placebo,Placebo_1,diabetesdurationgroupmore than 20 years,0.227520033829803
time_1,Placebo,Placebo,Placebo_1,ethnicNOT HISPANIC OR LATINO,0.467577327699641
time_1,Placebo,Placebo,Placebo_1,egfr.baseline,-0.000713124112210618
time_1,Placebo,Placebo,Placebo_1,bmi.baseline>30 kg/m2,0.0548595618634123
time_1,Placebo,Placebo,Placebo_1,mineralcorYes,-0.0692901889839626
time_1,Placebo,Placebo,Placebo_1,bbYes,-0.00673655433120273
time_1,Placebo,Placebo,Placebo_1,rasiYes,-0.0855985950916944
time_1,Placebo,Placebo,Placebo_1,loopYes,0.12503622963737
time_1,Placebo,Placebo,Placebo_1,ccbYes,0.0291269593104
time_1,Placebo,Placebo,Placebo_1,thiazideYes,-0.137837919092526
time_1,Placebo,Placebo,Placebo_1,sasidYes,0.532230630605323
time_1,Placebo,Placebo,Placebo_1,statinYes,0.0856503762110736
time_1,Placebo,Placebo,Placebo_1,hypertensionYes,0.163423765096897
time_1,Placebo,Placebo,Placebo_1,diabetic.nephropathyYes,0.124751435785926
time_1,Placebo,Placebo,Placebo_1,stenosisYes,0.0300896468531653
time_1,Placebo,Placebo,Placebo_1,disorders.of.rhythm.or.conductionYes,-0.0116383302057568
